1. score=19 | docs/specs/constitution/HIEN_PHAP_NATT_OS_V6_SIRAWAT_LINEAGE_ANC_WILL_20260429.na | .na | 21361 bytes | abf28980942c | versions=['V6', 'v6'] | # HIẾN PHÁP NATT-OS V6.0
22. score=8 | docs/runtime/audit/THIENBANG_KERNEL_NAUION_v0_2_AUDIT_ss20260429.na | .na | 3095 bytes | c6a576aa125c | versions=[] | @nauion-audit v1
23. score=8 | src/governance/qneu/data/system-state.phieu | .phieu | 2320 bytes | 25271d55e3f2 | versions=[] | {
24. score=7 | docs/runtime/THIENBANG_EXTENSION_EVIDENCE_20260425.na | .na | 407 bytes | d2c001c0a7f6 | versions=[] | # thiênbăng EXTENSION EVIDENCE — 20260425
25. score=7 | docs/runtime/THIENBANG_EXTENSION_LAYER_20260425.si | .si | 966 bytes | d000882bd8df | versions=[] | # thiênbăng extension layer — 20260425
26. score=7 | docs/runtime/THIENBANG_PULSE_EVIDENCE_20260425.na | .na | 1126 bytes | 6a4ab1654006 | versions=[] | # thiênbăng pulse evidence — 20260425
27. score=7 | docs/runtime/THIEN_OPERATOR_CONSOLE_20260425.na | .na | 879 bytes | c94124895063 | versions=[] | # thiên operator console — 20260425
28. score=7 | docs/runtime/THIEN_OPERATOR_IDENTITY_20260425.si | .si | 1081 bytes | 448039de2b93 | versions=[] | # thiên operator identity — 20260425
29. score=7 | docs/runtime/THIEN_OPERATOR_IDENTITY_EVIDENCE_20260425.na | .na | 447 bytes | 67ce2d02ff3c | versions=[] | # thiên operator identity EVIDENCE — 20260425
30. score=7 | docs/runtime/sitb_si_thien_bang_hw_sw_interface_nauion_v0_1_ss20260427.na | .na | 5827 bytes | 064db59f3864 | versions=[] | @nauion-native v1
31. score=7 | docs/runtime/thienbang_extension_upgrade_evidence_20260425.na | .na | 1461 bytes | 13f1a39bd270 | versions=[] | # thiênbăng extension upgrade evidence — 20260425
32. score=7 | docs/runtime/thienbang_memory_state_evidence_20260425.na | .na | 1559 bytes | 9df332ccd6f8 | versions=[] | # thiênbăng memory state evidence — 20260425
33. score=7 | docs/runtime/thienbang_memory_state_lexicon_20260425.si | .si | 1939 bytes | 11fda7aa5476 | versions=[] | # thiênbăng memory state lexicon — 20260425
34. score=7 | src/governance/policy/policy-signature.engine.na | .na | 4459 bytes | f82eb13fb34d | versions=['v4.0'] | /**
35. score=6 | docs/render/render_heyna_surface_evidence_20260425.na | .na | 682 bytes | db36d63e41e7 | versions=[] | # render heyna surface evidence — 20260425\n\nstatus: heyna-surface-validated\ncreated_at: 2026-04-25T09:56:43.329034+00:00\nrepo_root: /Users/thien/Desktop/Hô
36. score=6 | docs/render/render_multiscreen_pilot_evidence_20260425.na | .na | 672 bytes | 14885eb6b6cc | versions=[] | # render multiscreen pilot evidence — 20260425\n\nstatus: multiscreen-pilot-validated\ncreated_at: 2026-04-25T09:51:31.653760+00:00\nrepo_root: /Users/thien/Des
37. score=6 | docs/runtime/SIRA_BROWSER_TRANSPORT_ADAPTER_EVIDENCE_20260425.na | .na | 1605 bytes | a66a9f8ca782 | versions=[] | # sira browser transport adapter Evidence — 20260425\n\nstatus: pass\ncreated_at: 2026-04-24T18:18:28.786024+00:00\nrepo_root: /Users/thien/Desktop/Hồ Sơ SHT
38. score=6 | docs/runtime/sira_gateway_route_binding_evidence_20260425.na | .na | 733 bytes | 41e1a44645df | versions=[] | # sira gateway route binding evidence — 20260425\n\nstatus: route-binding-candidate\ncreated_at: 2026-04-25T06:59:21.661793+00:00\nrepo_root: /Users/thien/Deskt
