origin_text,vi_standard,origin_no_tone,cipher_surface,rime_rule_id,tone_class,protected_flag,decode_key,row_hmac
emotiontypepleasedonotuse,loại cảm xúc xin vui lòng không sử dụng,loai cam xuc xin vui long không sư dung,loai cam xuc xin vui long khong su dung,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C5,C3,C1,C0,C0,C2,C0,C3,C5",false,"loai cam xuc xin vui long không sư dung|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C5,C3,C1,C0,C0,C2,C0,C3,C5",4d4e646e95ed6ec342adfd392339dc5cbd6e85cf3d32705b58278b9b9a0dadcb
importstar,nhập khẩu sao,nhâp khâu sao,nhap khau sao,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C5,C3,C0",false,"nhâp khâu sao|R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C5,C3,C0",0364121d88698e31041be37182ed70b9753ad7b2da4ad9246f3fafc18b2396cb
merchantdetails,chi tiết người bán,chi tiêt ngươi ban,chi tiet ngui ban,"R_KEEP,R_TONE_ONLY,RN_UOI_UI,R_TONE_ONLY","C0,C1,C2,C1",false,"chi tiêt ngươi ban|R_KEEP,R_TONE_ONLY,RN_UOI_UI,R_TONE_ONLY|C0,C1,C2,C1",5040bcb8a05d584fd32666c78fba717831cf9c332465268bd381f588b1fe8779
metadata,siêu dữ liệu,siêu dư liêu,sieu du lieu,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C0,C4,C5",false,"siêu dư liêu|R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C0,C4,C5",4155e685f3ada4d014f665069bbeba8e11bb538f56eee7bc817e7d64bc1f00d7
nonjsonresponse,phản hồi không phải JSON,phan hôi không phai JSON,phan hau khong phai json,"R_TONE_ONLY,RN_OI_AU,R_KEEP,R_TONE_ONLY,R_KEEP","C3,C2,C0,C3,C0",false,"phan hôi không phai JSON|R_TONE_ONLY,RN_OI_AU,R_KEEP,R_TONE_ONLY,R_KEEP|C3,C2,C0,C3,C0",1e6ad68b5ebeba70fc3f6ffbbbc40c2fe8f237b3f1cc8d095d1e33914c04aa03
param,tham số,tham sô,tham so,"R_KEEP,R_TONE_ONLY","C0,C1",false,"tham sô|R_KEEP,R_TONE_ONLY|C0,C1",9cd80b48a16ab6d96469bb3099d0d1522c585ceeb5c47411d86c284a5af40c64
previewmode,chế độ xem trước,chê đô xem trươc,che đo xem truoc,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C1,C5,C0,C1",false,"chê đô xem trươc|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C1,C5,C0,C1",ba65fb7ac856fe051526f47c4b39218fa3780f8477d0bff043c270abe81ea513
privatestripe,dải riêng tư,dai riêng tư,dai rieng tu,"R_TONE_ONLY,R_KEEP,R_KEEP","C3,C0,C0",false,"dai riêng tư|R_TONE_ONLY,R_KEEP,R_KEEP|C3,C0,C0",eb9818790e278a48560b030e207c0acb13c012c45a2dc5681181f62338485585
raw,nguyên liệu thô,nguyên liêu thô,nguyen lieu tho,"R_KEEP,R_TONE_ONLY,R_KEEP","C0,C5,C0",false,"nguyên liêu thô|R_KEEP,R_TONE_ONLY,R_KEEP|C0,C5,C0",134cc46e1e67df3970fbd9179c78feb1783e09de02d9fc7e5a0ecf86d5188d58
read,đọc,đoc,đoc,R_TONE_ONLY,C5,false,đoc|R_TONE_ONLY|C5,3ee61f89b6df64eb8abf99e65f6190cfa26206410a18a991459991422931d7fc
secure,chắc chắn,chăc chăn,chac chen,"R_TONE_ONLY,RN_AN_EN","C1,C1",false,"chăc chăn|R_TONE_ONLY,RN_AN_EN|C1,C1",ca815034b68679c8ec212380f27c3d11fabc81571d31cd3e2f05ea7a668a030f
serialized,tuần tự hóa,tuân tư hoa,tuan tu hoa,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C2,C5,C1",false,"tuân tư hoa|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C2,C5,C1",aa9455757cbcea80d17f3969844d7bb8af34ec4772b1f7aa5d334712316bd2e2
sheetname20,tên trang 20,tên trang 20,ten trang 20,"R_KEEP,R_KEEP,R_KEEP","C0,C0,C0",false,"tên trang 20|R_KEEP,R_KEEP,R_KEEP|C0,C0,C0",3d4fc60dc231e473801e5e2c205a7f4b817e52838e9284959351b73a9b7b0063
shouldcollectsurchargerequiredfields,nên thu phí phụ thu các trường bắt buộc,nên thu phi phu thu cac trương băt buôc,nen thu phi phu thu cac truong bat buoc,"R_KEEP,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C0,C1,C5,C0,C1,C2,C1,C5",false,"nên thu phi phu thu cac trương băt buôc|R_KEEP,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C0,C1,C5,C0,C1,C2,C1,C5",abcec93c202ea8e1c32c81f854b042f3e24f1294be75b8e210870b19dfbbf105
showpreviewdropzones,hiển thị bản xem trước vùng thả,hiên thi ban xem trươc vung tha,hien thi ban xem truoc vung tha,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C3,C5,C3,C0,C1,C2,C3",false,"hiên thi ban xem trươc vung tha|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C3,C5,C3,C0,C1,C2,C3",3817281e7b5bf3b4d105a5691879c9983ccbd278fcffdaee96993b7aac1872ae
sid,bên,bên,ben,R_KEEP,C0,false,bên|R_KEEP|C0,0741892eed8f902141243148dc0d34cfff87c826d70c262b8c2ab47afa819f11
skipvalidation,bỏ qua xác thực,bo qua xac thưc,bo qua xac thuc,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C3,C0,C1,C5",false,"bo qua xac thưc|R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C3,C0,C1,C5",7e158446799c1e50c11b121afbf911c7df50def5796601887aeca573f8c134e0
snapshots,ảnh chụp nhanh,anh chup nhanh,anh chup nhanh,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C3,C5,C0",false,"anh chup nhanh|R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C3,C5,C0",b393da23329730d22c473a6989e22128927cb1f99d1e0a551401cc5e775446b8
spread,lây lan,lây lan,lay lan,"R_KEEP,R_KEEP","C0,C0",false,"lây lan|R_KEEP,R_KEEP|C0,C0",e0afa8590689f06b00a210b667a0adcdc9570cbec8ebdf8e34034120783244e6
spreadarrays,mảng trải rộng,mang trai rông,mang trai rong,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C3,C3,C5",false,"mang trai rông|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C3,C3,C5",d30ec79f8d51602fc89dd1576a00db484fa10ebc052265eeab542bbe34106c90
storagetest,kiểm tra lưu trữ,kiêm tra lưu trư,kiem tra luu tru,"R_TONE_ONLY,R_KEEP,R_KEEP,R_TONE_ONLY","C3,C0,C0,C4",false,"kiêm tra lưu trư|R_TONE_ONLY,R_KEEP,R_KEEP,R_TONE_ONLY|C3,C0,C0,C4",bd27eb915a24a062e74f699e581d54c1e9aa466cb55db803503dd14428c7441c
supportscouponcode,hỗ trợ mã giảm giá,hô trơ ma giam gia,ho tro ma giam gia,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C4,C5,C4,C3,C1",false,"hô trơ ma giam gia|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C4,C5,C4,C3,C1",2c2365aa463b3bbc7aa0d860d8af2a1b5bf5f852213b7f5d8ecc0b697e167fc7
account,tài khoản,tai khoan,tai khoan,"R_TONE_ONLY,R_TONE_ONLY","C2,C3",false,"tai khoan|R_TONE_ONLY,R_TONE_ONLY|C2,C3",a69c0c09526decec491d8e2b574bc37fab782bd71b6bad8f1924261b5eaba61b
accountresidencyregion,khu vực cư trú tài khoản,khu vưc cư tru tai khoan,khu vuc cu tru tai khoan,"R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C5,C0,C1,C2,C3",false,"khu vưc cư tru tai khoan|R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C5,C0,C1,C2,C3",0f1b754dd1b6153eb2f47898ff2646cc025d2709f176ae4d8489a24693eb0d62
action,hoạt động,hoat đông,hoat đong,"R_TONE_ONLY,R_TONE_ONLY","C5,C5",false,"hoat đông|R_TONE_ONLY,R_TONE_ONLY|C5,C5",5d8b3f604da2d9f5ac6e1a7b24c39a720aabc830e23ab5e0e683fc5bb3d6f3d9
alloc,phân bổ,phân bô,phan bo,"R_KEEP,R_TONE_ONLY","C0,C3",false,"phân bô|R_KEEP,R_TONE_ONLY|C0,C3",16cbcbbf177ab6514c7115b41da933d3692d928721a42528dee383b4a559bf85
analyzecontent,phân tích nội dung,phân tich nôi dung,phan tich nau dung,"R_KEEP,R_TONE_ONLY,RN_OI_AU,R_KEEP","C0,C1,C5,C0",false,"phân tich nôi dung|R_KEEP,R_TONE_ONLY,RN_OI_AU,R_KEEP|C0,C1,C5,C0",9214941356349d1338a989f3eb9d5afb1b04476e2bdf0c2be3bb5a2d32612099
any,bất kì,bât ki,bat ki,"R_TONE_ONLY,R_TONE_ONLY","C1,C2",false,"bât ki|R_TONE_ONLY,R_TONE_ONLY|C1,C2",2ea66cf63752ebedd8467d3ac4c31fb67a6e3e098e8cd12ef8fa85a0ccf125d0
args,đối số,đôi sô,đau so,"RN_OI_AU,R_TONE_ONLY","C1,C1",false,"đôi sô|RN_OI_AU,R_TONE_ONLY|C1,C1",b6f3614bde10b2b5e00ccb2d255a86242d4098bbcc4daed717083bb0ede42442
backupprewave3,sao lưu trước sóng 3,sao lưu trươc song 3,sao luu truoc song 3,"R_KEEP,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C0,C0,C1,C1,C0",false,"sao lưu trươc song 3|R_KEEP,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C0,C0,C1,C1,C0",edaa942088efab197a2666a4694181db6299fe5b66b291f03ef4994aa0badc55
backupsinglefile,sao lưu tệp đơn,sao lưu têp đơn,sao luu tep đon,"R_KEEP,R_KEEP,R_TONE_ONLY,R_KEEP","C0,C0,C5,C0",false,"sao lưu têp đơn|R_KEEP,R_KEEP,R_TONE_ONLY,R_KEEP|C0,C0,C5,C0",808f8b4915f1a8995332a212d765ed95d97f43476135365ef6afd377ba103516
calcstability,tính ổn định tính toán,tinh ôn đinh tinh toan,tinh on đinh tinh toan,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C1,C3,C5,C1,C1",false,"tinh ôn đinh tinh toan|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C1,C3,C5,C1,C1",df1beddfbb649d54484d0205555b53eb752c284132cc386d6f909fd83bcd2898
calculatechangedbits,tính toán các bit đã thay đổi,tinh toan cac bit đa thay đôi,tinh toan cac bit đa thay đau,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,RN_OI_AU","C1,C1,C1,C0,C4,C0,C3",false,"tinh toan cac bit đa thay đôi|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,RN_OI_AU|C1,C1,C1,C0,C4,C0,C3",824463ec05cfd08446ba876aa5549e0f857922b4322534eb9ea20fd66afa705c
checkout,thanh toán,thanh toan,thanh toan,"R_KEEP,R_TONE_ONLY","C0,C1",false,"thanh toan|R_KEEP,R_TONE_ONLY|C0,C1",9db5a5e4cf9fd5916bd383704cf19ecf0dc3efac779f209b6923ec7b9c0318a7
commonoptions,các tùy chọn chung,cac tuy chon chung,cac tuy chon chung,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C1,C2,C5,C0",false,"cac tuy chon chung|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C1,C2,C5,C0",425f36af2af8d618f701fd2db90dca623d937862f1e056070aefbb501004a3f1
compile,biên dịch,biên dich,bien dich,"R_KEEP,R_TONE_ONLY","C0,C5",false,"biên dich|R_KEEP,R_TONE_ONLY|C0,C5",7039e7a632e6c076a6cd8db0b058860fc1477f396c54992ed4e175437d64a53b
controller,bộ điều khiển,bô điêu khiên,bo đieu khien,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C2,C3",false,"bô điêu khiên|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C2,C3",9c15941745f51ad9e330a084bc831c420826ad59ab94fc3c48f9d939882ecd1f
decision,phán quyết,phan quyêt,phan quyet,"R_TONE_ONLY,R_TONE_ONLY","C1,C1",false,"phan quyêt|R_TONE_ONLY,R_TONE_ONLY|C1,C1",09ae6bf396f90412c4af150fc7f0bf32204b48ac9c8b8c6b93ec84cd3e5abc87
deletelist,danh sách xóa,danh sach xoa,danh sach xoa,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C0,C1,C1",false,"danh sach xoa|R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C0,C1,C1",93d29bdc165daa05b3724af18410e86d1cc080e156dee82606faa30151e3e1ce
detectiontype,loại phát hiện,loai phat hiên,loai phat hien,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C1,C5",false,"loai phat hiên|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C1,C5",a61b6fcf04e54041a4167de6012124d4cee6e2d24d8ef10300ba15eec5ef32d7
detectstage,phát hiện giai đoạn,phat hiên giai đoan,phat hien giai đoan,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C1,C5,C0,C5",false,"phat hiên giai đoan|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C1,C5,C0,C5",f6a568796c6a37c3412bcc7043b583d396c947c0441dd0c656e6ce413d03a91d
drag,lôi kéo,lôi keo,lau keo,"RN_OI_AU,R_TONE_ONLY","C0,C1",false,"lôi keo|RN_OI_AU,R_TONE_ONLY|C0,C1",7482c7f5ee58e77c9ab193fae780c81069692d863c952bddaa143e3e2990c65e
dragx,kéo,keo,keo,R_TONE_ONLY,C1,false,keo|R_TONE_ONLY|C1,72ec374e145342c0cc369098acac8fd13e6b1583df7a0ac385777ef56b11355f
dragy,kéo lê,keo lê,keo le,"R_TONE_ONLY,R_KEEP","C1,C0",false,"keo lê|R_TONE_ONLY,R_KEEP|C1,C0",7f836fdc0e8d58e4c58a6da02016ff80250f64beac07aaac29261e50d2219667
elements,các yếu tố,cac yêu tô,cac yeu to,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C1,C1,C1",false,"cac yêu tô|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C1,C1,C1",e72fba614186d963e5c2613cd519c0ae5681cdb8dcdd20a41a9586e35f6bd135
end,kết thúc,kêt thuc,ket thuc,"R_TONE_ONLY,R_TONE_ONLY","C1,C1",false,"kêt thuc|R_TONE_ONLY,R_TONE_ONLY|C1,C1",f181b9d8f846ff776fd301130cdec209feedc1e7fe31acadbea8e3cd402ebbc5
exp,kinh nghiệm,kinh nghiêm,kinh nghiem,"R_KEEP,R_TONE_ONLY","C0,C5",false,"kinh nghiêm|R_KEEP,R_TONE_ONLY|C0,C5",6d9e29701596a4059b58b6d02c05ee6bce98d35d51c51c9be4c3f24c25697459
extractfileinfo,thông tin tệp tin,thông tin têp tin,thong tin tep tin,"R_KEEP,R_KEEP,R_TONE_ONLY,R_KEEP","C0,C0,C5,C0",false,"thông tin têp tin|R_KEEP,R_KEEP,R_TONE_ONLY,R_KEEP|C0,C0,C5,C0",e6dca4995501d64e0a72850760cd7cbef137ebd27a9a8452780ea1bfee2ac803
full,đầy,đây,đay,R_TONE_ONLY,C2,false,đây|R_TONE_ONLY|C2,fc9321ac5b65d9a5946cc5b47b6dbba154f617a8481381aef2ce4e3d11b2bda1
fullsummary,tóm tắt đầy đủ,tom tăt đây đu,tom tat đay đu,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C1,C1,C2,C3",false,"tom tăt đây đu|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C1,C1,C2,C3",8180195a6ca55886efecfda09074b50170cbd910180fc020f2f35c41991365e6
groupid,mã nhóm,ma nhom,ma nhom,"R_TONE_ONLY,R_TONE_ONLY","C4,C1",false,"ma nhom|R_TONE_ONLY,R_TONE_ONLY|C4,C1",477fa27bb57a748ce8d10aa20c38ade2d6336fdb8543eaad1a6cf281e087a811
ids,ID,ID,id,R_KEEP,C0,false,ID|R_KEEP|C0,22d0664d6eef710927a1560e2e325738a9cd540995c0c3983c34577c57031345
imageurl,URL hình ảnh,URL hinh anh,url hinh anh,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C0,C2,C3",false,"URL hinh anh|R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C0,C2,C3",b0d3d2a5b32a4bc70ead27fd03f4bd6b0b4804c7f91df38b4e4fc6e2603edebe
issubmitting,đang gửi,đang gưi,đang gui,"R_KEEP,R_TONE_ONLY","C0,C3",false,"đang gưi|R_KEEP,R_TONE_ONLY|C0,C3",9cb71eda6a72ff9e91ffc511be01cb1bf0a602890b35c4f3bd56f32c95375a99
isupdating,đang cập nhật,đang câp nhât,đang cap nhat,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C0,C5,C5",false,"đang câp nhât|R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C0,C5,C5",2fdf2d2ae586ee9032950de952753d79c52adfc86bb0c5e2ea2a2f67fd6bd624
isusererror,lỗi người dùng,lôi ngươi dung,lau ngui dung,"RN_OI_AU,RN_UOI_UI,R_TONE_ONLY","C4,C2,C2",false,"lôi ngươi dung|RN_OI_AU,RN_UOI_UI,R_TONE_ONLY|C4,C2,C2",5ecc96baab62d4d7d4694b073ac9b52eb9a60386b7ab9a6bda07f57caabdc4b7
link,liên kết,liên kêt,lien ket,"R_KEEP,R_TONE_ONLY","C0,C1",false,"liên kêt|R_KEEP,R_TONE_ONLY|C0,C1",0661ac41f997eac18cfebf1e0900d5654220b3ff8c3abfe690e83c6d2f98e031
loss,sự mất mát,sư mât mat,su mat mat,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C1,C1",false,"sư mât mat|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C1,C1",c8128fe5215ec2bbe9e129d0f1f005442ac76b8d8d1f003fb5152ca7432f1060
lostestimates,ước tính bị mất,ươc tinh bi mât,uoc tinh bi mat,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C1,C1,C5,C1",false,"ươc tinh bi mât|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C1,C1,C5,C1",9e19d1c6eb9385ad5a38d32795053b13d54f1155f99b7abc0fb79996ab78321f
mergeconfig,cấu hình hợp nhất,câu hinh hơp nhât,cau hinh hop nhat,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C1,C2,C5,C1",false,"câu hinh hơp nhât|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C1,C2,C5,C1",077e22977104995ad560b3e02a5c0793646714220c740d65aab655786eb1fb2c
missingconfig,cấu hình bị thiếu,câu hinh bi thiêu,cau hinh bi thieu,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C1,C2,C5,C1",false,"câu hinh bi thiêu|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C1,C2,C5,C1",0fcc8a216eb01bb505e24bd71f42c57ed03091a87f246272d24e6ca5237aaf55
notpassed,không vượt qua,không vươt qua,khong vuot qua,"R_KEEP,R_TONE_ONLY,R_KEEP","C0,C5,C0",false,"không vươt qua|R_KEEP,R_TONE_ONLY,R_KEEP|C0,C5,C0",0a66407e921530db2ec96ae4260b07279239aea590fcabe64f2b9463eb54d8f9
origins,nguồn gốc,nguôn gôc,nguon goc,"R_TONE_ONLY,R_TONE_ONLY","C2,C1",false,"nguôn gôc|R_TONE_ONLY,R_TONE_ONLY|C2,C1",8f238c87c4ed27abf7425236f12cd5da8425777820c7777e1ecf03f81441ba94
parent,cha mẹ,cha me,cha me,"R_KEEP,R_TONE_ONLY","C0,C5",false,"cha me|R_KEEP,R_TONE_ONLY|C0,C5",f71ebcb53e72fd57591e08f40ff3b7c1663a5e144b6c84c48b540ed295dbf9d1
performcleanup,thực hiện dọn dẹp,thưc hiên don dep,thuc hien don dep,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C5,C5,C5",false,"thưc hiên don dep|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C5,C5,C5",5e17da350a2f8c0ea2a1d94743b0434bc1bea5cf4e36b6e8875ad8e8b81ceafa
primaryid,mã định danh chính,ma đinh danh chinh,ma đinh danh chinh,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C4,C5,C0,C1",false,"ma đinh danh chinh|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C4,C5,C0,C1",92c284b77b274df8d1a81e742c9530d9ee642fd90bc0efc87c8cb0da3a06b027
profile,hồ sơ,hô sơ,ho so,"R_TONE_ONLY,R_KEEP","C2,C0",false,"hô sơ|R_TONE_ONLY,R_KEEP|C2,C0",0b89b49119aad34bc3a9733ea82a0bdcd615857d4cf9e367e8df7f32e8c72529
profit,lợi nhuận,lơi nhuân,loi nhuan,"R_TONE_ONLY,R_TONE_ONLY","C5,C5",false,"lơi nhuân|R_TONE_ONLY,R_TONE_ONLY|C5,C5",9af64b809b435290c528e903216b78c8db2b2294a30ac3d4f21e49031bb8ea79
readme,tệp readme,têp readme,tep readme,"R_TONE_ONLY,R_KEEP","C5,C0",false,"têp readme|R_TONE_ONLY,R_KEEP|C5,C0",e9788a7dd40ce497c9a0ec9bc4600f2fe73213d6762a3639c27d90c244a305f0
reason,lý do,ly do,ly do,"R_TONE_ONLY,R_KEEP","C1,C0",false,"ly do|R_TONE_ONLY,R_KEEP|C1,C0",585ec04eeac8b57da1976eb10024773b691039cece6b86845a3bc467117296f4
